TCI,TCSC,exp,expmod,cm,cvbin,frqbin,abin,kurt,vfleak,M,A1,A2,A3,mav,psr,hilb,SamEn,x3,x4,x5,x1,x2,bCP,bWT,bW,Li,count1,count2,count3,VF
438.42,46.8,120,120,0.09965800000000001,0.16016,1.75,800,0.15317,0.5832,1.8463,0.013544,0.35512,1.0334,0.5969300000000001,0.0925,0.09625,0.1665,0.0096583,9,1.893,0.5315300000000001,0.0033383,0.354,0.29044000000000003,1.6479,12.889000000000001,23.5,78.75,10.95,0
449.1,46.467,60,120,0.11959000000000002,0.15713,1.75,805,-0.053068,0.60206,1.8556,0.010722,0.33294,1.0707,0.6290100000000001,0.090625,0.10312,0.17407999999999998,0.012657,12,1.893,0.5644899999999999,0.0022076,0.22399999999999998,0.47143999999999997,1.77,10.418,21.25,83.75,10.720999999999998,0
466.82,49.533,90,135,0.09965800000000001,0.1649,1.75,792,-0.15992,0.58141,1.8511,0.0079217,0.40213000000000004,1.1196,0.64374,0.0925,0.0975,0.16576,0.015831,12,1.893,0.33149,0.0025204999999999997,0.27,0.57652,2.0752,18.861,18.25,83.25,9.5106,0
549.38,52.6,120,120,0.089692,0.17177,1.75,780,-0.39949,0.59277,1.7017,0.0,0.51941,0.81257,0.71385,0.073125,0.089375,0.12743,0.011373000000000001,15,1.893,0.25013,0.0016874000000000001,0.264,0.56407,1.9531,14.784,22.0,86.75,11.799000000000001,0
426.55,56.533,135,105,0.11959000000000002,0.18101,2.25,763,-0.43015,0.51779,1.6104,0.014365000000000001,0.39363000000000004,0.7165699999999999,0.6843899999999999,0.088125,0.1,0.19576,0.011764,16,2.0151,0.49223999999999996,0.0013864,0.242,0.45114,1.4648,12.842,28.75,78.75,13.537,0
425.68,48.6,45,120,0.11959000000000002,0.17619,2.0,772,-0.2066,0.48344,1.6234,0.01576,0.39955,0.70413,0.65181,0.09125,0.10063,0.19399999999999998,0.011678000000000001,14,2.0151,0.50457,0.0015033,0.28600000000000003,0.43593999999999994,1.4648,10.374,29.75,81.25,14.219000000000001,0
551.93,53.533,210,120,0.09965800000000001,0.18048,2.0,764,-0.59195,0.56089,1.7165,0.0,0.54891,0.93986,0.7956,0.080625,0.0875,0.13244,0.020589,16,1.893,0.23028,0.0022134,0.23399999999999999,0.68862,1.9531,9.2532,33.5,82.0,16.4,0
311.66,34.266999999999996,30,210,0.089692,0.11762,1.25,864,2.1679,0.77445,2.7771,0.0026484,0.2479,2.2305,0.45438,0.090625,0.086875,0.13344,0.002833,6,1.6488,0.49341,0.0073595,0.39399999999999996,0.30013,3.6621,13.600999999999999,21.0,86.5,11.059000000000001,0
291.17,64.133,105,150,0.15945,0.223,2.75,665,-0.32283,0.77703,1.9961,0.038803,0.30732,1.808,0.7166899999999999,0.1,0.10937999999999999,0.23240999999999998,0.011644,13,1.7709,0.1953,0.006312600000000001,0.33399999999999996,0.4084,2.1973,11.43,16.25,89.0,8.2525,0
321.55,53.333,30,195,0.17937999999999998,0.21599000000000002,2.75,685,-0.23124,0.77104,2.3365,0.022337,0.27776999999999996,2.1252,0.6190899999999999,0.0975,0.11062999999999999,0.18875999999999998,0.0074072,8,1.7709,0.28479,0.008605,0.384,0.40761,3.6621,8.456,24.75,95.0,16.188,0
