TCI,TCSC,exp,expmod,cm,cvbin,frqbin,abin,kurt,vfleak,M,A1,A2,A3,mav,psr,hilb,SamEn,x3,x4,x5,x1,x2,bCP,bWT,bW,Li,count1,count2,count3,VF
360.08,42.933,60,135,0.10962000000000001,0.15281,1.75,812,0.23413,0.65476,2.0421,0.014453,0.30493000000000003,1.3691,0.55733,0.089375,0.09375,0.17285999999999999,0.014594999999999999,12,1.893,0.52618,0.0032985999999999996,0.258,0.48395,2.1362,49.342,19.25,73.75,8.0208,0
333.41,54.733000000000004,120,150,0.14949,0.19259,2.25,740,-0.64581,0.45448,1.3178,0.03942,0.48202,0.5102300000000001,0.7164,0.0975,0.11,0.21055,0.016797,14,2.6258,0.6189600000000001,0.0028912,0.22,0.32814,1.5259,28.785,45.0,89.25,25.87,0
359.18,46.6,90,180,0.16942000000000002,0.239,3.0,606,0.26447,0.61511,2.097,0.008673100000000001,0.31914000000000003,1.3909,0.5979300000000001,0.095625,0.10687,0.17792,0.014740999999999999,9,1.893,0.56023,0.0057321,0.302,0.3427,1.8921,32.381,28.5,78.25,13.475,0
416.67,41.867,0,135,0.11959000000000002,0.15029,1.75,816,0.65061,0.65536,1.7065,0.016068,0.39236,0.8347,0.54609,0.08375,0.081875,0.15855999999999998,0.0072594999999999995,9,2.0151,0.50644,0.0032335000000000003,0.28800000000000003,0.4774,1.8311,16.677,28.5,77.5,13.613,0
544.08,49.333,120,120,0.09965800000000001,0.1649,2.0,792,-0.14313,0.6112,1.9452,0.00072948,0.42743000000000003,1.1541,0.64798,0.09,0.096875,0.15663,0.0095562,10,1.893,0.28983000000000003,0.003547,0.266,0.48095,2.0142,12.484000000000002,24.75,74.75,10.527000000000001,0
299.7,47.933,60,150,0.12955999999999998,0.16136,2.0,798,0.20920999999999998,0.6612899999999999,2.0266,0.0061015,0.31616,1.3793,0.6019399999999999,0.093125,0.098125,0.17479,0.019987,10,1.7709,0.5003,0.0047577,0.252,0.56979,2.1973,9.4778,29.25,82.25,15.107000000000001,0
291.67,41.533,0,135,0.11959000000000002,0.16255,1.75,796,0.071439,0.6392100000000001,1.9705,0.014573,0.30079,1.2073,0.55414,0.086875,0.0975,0.16494,0.0066721,11,1.893,0.61685,0.0026319000000000004,0.282,0.5269699999999999,1.9531,10.860999999999999,25.5,77.5,12.032,0
461.9,58.933,75,135,0.13952,0.19403,2.5,737,-0.58353,0.40024,1.1221,0.040285,0.58545,0.27201,0.74424,0.095625,0.10562,0.22308000000000003,0.015040000000000001,14,3.2364,0.8496799999999999,0.0041158,0.28600000000000003,0.38402,0.79346,27.08,22.5,83.25,11.2,0
407.02,47.533,150,120,0.12955999999999998,0.16607,2.0,790,0.13471,0.5797100000000001,1.8466,0.015380000000000001,0.32692,1.0577,0.6321899999999999,0.086875,0.098125,0.16716,0.014812,11,1.893,0.58001,0.0023981,0.23,0.43778,1.8311,11.769,21.75,79.5,10.339,0
431.6,51.867,90,120,0.11959000000000002,0.17065,2.0,782,-0.2479,0.59988,1.7312,0.012226,0.42261000000000004,0.84703,0.6766399999999999,0.09375,0.10312,0.1776,0.010842000000000001,12,2.0151,0.39241,0.0029195000000000002,0.218,0.58067,1.709,11.193,29.75,87.0,16.618,0
379.11,47.8,30,165,0.09965800000000001,0.16432,1.75,793,0.083376,0.5345300000000001,1.0909,0.061522,0.47991000000000006,0.29270999999999997,0.59196,0.09,0.099375,0.18689,0.013155000000000002,12,3.1143,0.61829,0.0024212,0.264,0.29830999999999996,1.8921,21.653000000000002,29.25,89.5,16.944000000000003,0
333.33,49.667,30,135,0.11959000000000002,0.15835,1.75,803,0.15256,0.56628,1.1949,0.056351,0.43488999999999994,0.39766,0.6239899999999999,0.08875,0.096875,0.18849000000000002,0.013550999999999999,10,3.1143,0.56596,0.0030853,0.24,0.32746,1.9531,18.761,20.5,79.0,9.9052,0
352.28,48.0,90,165,0.11959000000000002,0.17232999999999998,2.0,779,-0.11037000000000001,0.52136,1.1401,0.060007000000000005,0.48068,0.3573,0.60969,0.093125,0.10187,0.19907,0.010948999999999999,13,3.1143,0.6267,0.0025745,0.242,0.38092,2.0142,18.445999999999998,31.0,86.0,17.284000000000002,0
323.76,43.133,30,150,0.10962000000000001,0.15774000000000002,1.75,804,0.27763000000000004,0.55942,1.0754,0.067548,0.48306000000000004,0.29556,0.57725,0.089375,0.0975,0.18325999999999998,0.009962100000000002,10,3.1143,0.61778,0.0021629,0.284,0.38908000000000004,1.9531,15.895,29.5,90.25,18.111,0
345.37,42.933,60,120,0.16942000000000002,0.239,2.75,606,0.2852,0.54313,1.1236,0.061521000000000006,0.48166000000000003,0.33752,0.54492,0.090625,0.090625,0.18311,0.006797,11,3.1143,0.63047,0.0024298,0.306,0.32281,1.9531,16.756,27.0,85.5,14.822000000000001,0
350.82,42.4,45,135,0.10962000000000001,0.15652,1.75,806,0.26805,0.58749,1.3861,0.046271,0.42515,0.61769,0.5693,0.093125,0.09375,0.17332,0.009209299999999998,12,3.1143,0.62526,0.0024660999999999997,0.318,0.2906,1.9531,15.540999999999999,22.75,75.25,9.7965,0
317.79,39.6,60,150,0.11959000000000002,0.15652,1.75,806,0.20426,0.57749,1.1524,0.057779,0.49483999999999995,0.35731999999999997,0.5562199999999999,0.0925,0.0975,0.18644000000000002,0.0093116,10,3.1143,0.65567,0.002536,0.29,0.38642,1.8921,16.031,18.75,83.25,10.038,0
331.58,41.667,60,150,0.09965800000000001,0.15955999999999998,2.0,801,0.091816,0.54162,1.1261,0.061953999999999995,0.49415,0.3502,0.59153,0.094375,0.1,0.17907,0.011068000000000001,11,3.1143,0.6411399999999999,0.0021761,0.258,0.29145,1.8921,16.434,21.0,79.75,9.8226,0
362.61,45.133,30,135,0.12955999999999998,0.17065,2.0,782,0.057120000000000004,0.57445,1.1898,0.057790999999999995,0.44919,0.36371,0.5934,0.095,0.0975,0.18291,0.013340000000000001,13,3.1143,0.58781,0.0028981,0.23199999999999998,0.42794,1.9531,20.642,20.0,81.0,10.109,0
300.86,53.6,150,150,0.10962000000000001,0.1831,2.0,759,-0.32576,0.51595,1.1277,0.02817,0.57519,0.28826999999999997,0.70124,0.0925,0.10437,0.20245,0.016384,14,3.1143,0.7373,0.0016873,0.25,0.38071,1.5869,17.452,29.75,93.25,18.904,0
555.56,48.266999999999996,60,120,0.09965800000000001,0.15955999999999998,1.75,801,0.028132,0.60163,1.6740000000000002,0.0043861,0.46075,0.7743,0.63202,0.08625,0.09375,0.1652,0.0086552,12,1.893,0.32224,0.002691,0.28,0.52395,1.8921,12.075999999999999,28.5,86.75,15.452,0
429.77,48.266999999999996,0,105,0.10962000000000001,0.17289000000000002,2.0,778,-0.19384,0.59572,1.8109,0.0056933,0.39805999999999997,0.90907,0.6396,0.095,0.0975,0.18026,0.01252,9,2.0151,0.44288999999999995,0.0035435,0.25,0.52996,1.709,40.926,27.25,82.25,13.625,0
559.16,44.467,30,135,0.10962000000000001,0.15591,1.75,807,0.2067,0.59245,1.7837,0.013063,0.33049,0.9150799999999999,0.61141,0.0925,0.095625,0.17490999999999998,0.011909999999999999,10,1.893,0.5819,0.0018637999999999999,0.23199999999999998,0.4463,1.5869,12.136,27.75,94.5,17.396,0
461.53,48.533,60,120,0.10962000000000001,0.15591,1.75,807,0.042593,0.60414,1.9984,0.011131,0.32221,1.324,0.58996,0.09625,0.10125,0.18219000000000002,0.008556200000000002,12,1.7709,0.51652,0.0029956999999999996,0.27399999999999997,0.4836,2.0752,10.229,21.75,83.0,11.195,0
365.18,48.467,90,135,0.11959000000000002,0.17344,2.0,777,-0.070873,0.5536,1.9174,0.0090705,0.37343000000000004,1.0926,0.61757,0.091875,0.09625,0.17568,0.012461,11,1.893,0.47111000000000003,0.0034698,0.266,0.38487,1.709,16.585,32.0,84.75,18.11,0
606.15,46.333,45,105,0.10962000000000001,0.16432,2.0,793,-0.161,0.59717,1.7653,0.016228,0.34212,0.8701200000000001,0.65062,0.095625,0.10375,0.17735,0.014668,11,1.893,0.59606,0.002727,0.23600000000000002,0.41501000000000005,1.8311,12.454,21.25,86.25,11.825,0
